page_id,lec_id
foa-2357-2,lecture-1
foa-2358-2,lecture-1
foa-2358-3,lecture-1
foa-2358-4,lecture-1
foa-2358-5,lecture-1
foa-2358-6,lecture-1
foa-2358-7,lecture-1
foa-2358-8,lecture-1
foa-2359-8,lecture-1
foa-2359-9,lecture-1
ies-2360-1,lecture-1
ies-2361-1,lecture-1
ies-2362-1,lecture-1
ies-2362-2,lecture-1
ies-2363-2,lecture-1
ies-2363-3,lecture-1
ies-2364-3,lecture-1
ies-2364-4,lecture-1
ies-2365-4,lecture-1
ies-2366-4,lecture-1
ies-2366-5,lecture-1
ies-2366-6,lecture-1
ies-2367-6,lecture-1
ies-2367-7,lecture-1
ies-2368-7,lecture-1
ies-2368-8,lecture-1
mir2-2369-3,lecture-1
mir2-2370-3,lecture-1
mir2-2371-3,lecture-1
mir2-2371-4,lecture-1
mir2-2372-5,lecture-1
mir2-2373-5,lecture-1
mir2-2374-5,lecture-1
mir2-2374-6,lecture-1
mir2-2375-6,lecture-1
mir2-2375-7,lecture-1
mir2-2376-7,lecture-1
mir2-2377-7,lecture-1
mir2-2378-7,lecture-1
mir2-2378-8,lecture-1
mir2-2378-9,lecture-1
mir2-2379-9,lecture-1
mir2-2379-10,lecture-1
mir2-2380-10,lecture-1
mir2-2381-11,lecture-1
mir2-2382-11,lecture-1
mir2-2382-12,lecture-1
mir2-2383-12,lecture-1
mir2-2383-13,lecture-1
mir2-2383-14,lecture-1
mir2-2384-14,lecture-1
iir-2156-38,lecture-4
iir-2156-39,lecture-4
iir-2156-40,lecture-4
iir-2385-43,lecture-2
iir-2385-44,lecture-2
iir-2385-45,lecture-2
iir-2385-46,lecture-2
iir-2385-47,lecture-2
iir-2386-56,lecture-2
iir-2387-56,lecture-2
iir-2388-56,lecture-2
iir-2388-57,lecture-2
iir-2389-58,lecture-2
iir-2389-59,lecture-2
iir-2390-59,lecture-2
iir-2391-59,lecture-2
iir-2391-60,lecture-2
iir-2391-61,lecture-2
iir-2391-62,lecture-2
iir-2391-63,lecture-2
iir-2392-64,lecture-2
iir-2393-65,lecture-2
iir-2393-66,lecture-2
iir-2393-67,lecture-2
iir-2393-68,lecture-2
iir-2393-69,lecture-2
iir-2394-69,lecture-2
iir-2394-70,lecture-2
iir-2394-71,lecture-2
iir-2395-73,lecture-2
iir-2395-74,lecture-2
iir-2395-75,lecture-2
iir-2396-76,lecture-2
iir-2397-76,lecture-2
iir-2397-77,lecture-2
iir-2397-78,lecture-2
iir-2398-78,lecture-2
iir-2398-79,lecture-2
iir-2398-80,lecture-2
iir-2399-80,lecture-2
iir-2399-81,lecture-2
iir-2400-82,lecture-2
iir-2400-83,lecture-2
iir-2400-84,lecture-2
iir-2401-86,lecture-2
iir-2402-86,lecture-2
iir-2402-87,lecture-2
iir-2402-88,lecture-2
iir-2403-88,lecture-2
iir-2403-89,lecture-2
iir-2403-90,lecture-2
iir-2404-90,lecture-2
iir-2404-91,lecture-2
iir-2405-91,lecture-2
iir-2405-92,lecture-2
iir-2405-93,lecture-2
iir-2406-93,lecture-2
iir-2407-94,lecture-2
iir-2408-94,lecture-2
iir-2408-95,lecture-2
iir-2409-95,lecture-2
iir-2409-96,lecture-2
iir-2409-97,lecture-2
iir-2410-97,lecture-2
iir-2410-98,lecture-2
iir-2410-99,lecture-2
iir-2411-99,lecture-2
iir-2412-100,lecture-2
iir-2104-104,lecture-3
iir-2104-105,lecture-3
iir-2105-105,lecture-3
iir-2105-106,lecture-3
iir-2106-106,lecture-3
iir-2106-107,lecture-3
iir-2106-108,lecture-3
iir-2106-109,lecture-3
iir-2106-110,lecture-3
iir-2107-110,lecture-3
iir-2107-111,lecture-3
iir-2108-111,lecture-3
iir-2108-112,lecture-3
iir-2108-113,lecture-3
iir-2108-114,lecture-3
iir-2108-115,lecture-3
iir-2109-115,lecture-3
iir-2109-116,lecture-3
iir-2109-117,lecture-3
iir-2110-117,lecture-3
iir-2110-118,lecture-3
iir-2110-119,lecture-3
iir-2110-120,lecture-3
iir-2111-120,lecture-3
iir-2111-121,lecture-3
iir-2111-122,lecture-3
iir-2112-122,lecture-3
iir-2112-123,lecture-3
iir-2113-123,lecture-3
iir-2113-124,lecture-3
iir-2113-125,lecture-3
iir-2114-125,lecture-3
iir-2114-126,lecture-3
iir-2115-126,lecture-3
iir-2115-127,lecture-3
iir-2116-127,lecture-3
iir-2116-128,lecture-3
iir-2117-128,lecture-3
iir-2117-129,lecture-3
iir-2118-129,lecture-3
iir-2118-130,lecture-3
iir-2118-131,lecture-3
iir-2118-132,lecture-3
iir-2119-132,lecture-3
iir-2119-133,lecture-3
iir-2120-133,lecture-3
iir-2120-134,lecture-3
iir-2120-135,lecture-3
iir-2121-135,lecture-3
iir-2121-136,lecture-3
iir-2121-137,lecture-3
iir-2121-138,lecture-3
iir-2121-139,lecture-3
iir-2121-140,lecture-3
iir-2121-141,lecture-3
iir-2121-142,lecture-3
iir-2122-142,lecture-3
iir-2122-143,lecture-3
iir-2122-144,lecture-3
iir-2122-145,lecture-3
mir-2123-185,lecture-3
mir-2124-185,lecture-3
mir-2124-186,lecture-3
mir-2124-187,lecture-3
mir-2125-187,lecture-3
mir-2125-188,lecture-3
mir-2126-188,lecture-3
mir-2126-189,lecture-3
mir-2126-190,lecture-3
mir-2126-191,lecture-3
mir-2126-192,lecture-3
mir-2126-193,lecture-3
mir-2126-194,lecture-3
mir-2126-195,lecture-3
mir-2127-195,lecture-3
mir-2127-196,lecture-3
mir-2128-196,lecture-3
mir-2128-197,lecture-3
mir-2128-198,lecture-3
mir-2129-203,lecture-3
mir-2130-203,lecture-3
mir-2130-204,lecture-3
mir-2131-204,lecture-3
mir-2131-205,lecture-3
mir-2131-206,lecture-3
mir-2131-207,lecture-3
mir-2132-207,lecture-3
mir-2132-208,lecture-3
mir-2133-208,lecture-3
mir-2133-209,lecture-3
mir-2133-210,lecture-3
mir-2133-211,lecture-3
mir-2134-211,lecture-3
mir-2135-211,lecture-3
mir-2135-212,lecture-3
mir-2135-213,lecture-3
mir-2135-214,lecture-3
mir-2135-215,lecture-3
mir-2135-216,lecture-3
mir-2135-217,lecture-3
mir-2136-217,lecture-3
mir-2136-218,lecture-3
mir-2136-219,lecture-3
mir-2137-219,lecture-3
mir-2137-220,lecture-3
mir-2137-221,lecture-3
mir-2138-221,lecture-3
mir-2139-221,lecture-3
mir-2139-222,lecture-3
mir-2140-222,lecture-3
mir-2140-223,lecture-3
mir-2141-223,lecture-3
mir-2141-224,lecture-3
mir-2142-224,lecture-3
mir-2142-225,lecture-3
mir-2143-225,lecture-3
mir-2143-226,lecture-3
mir-2144-226,lecture-3
mir-2144-227,lecture-3
mir-2145-227,lecture-3
mir-2146-227,lecture-3
mir-2146-228,lecture-3
mir-2147-228,lecture-3
mir-2147-229,lecture-3
mir-2147-230,lecture-3
mir-2147-231,lecture-3
mir-2148-231,lecture-3
mir-2148-232,lecture-3
mir-2149-232,lecture-3
mir-2149-233,lecture-3
mir-2149-234,lecture-3
mir-2150-234,lecture-3
mir-2151-234,lecture-3
mir-2151-235,lecture-3
mir-2152-235,lecture-3
mir-2152-236,lecture-3
mir-2153-236,lecture-3
mir-2153-237,lecture-3
mir-2153-238,lecture-3
mir-2154-238,lecture-3
mir-2154-239,lecture-3
